"Stn Code","Sampling Date","State","City/Town/Village/Area","Location of Monitoring Station","Agency","Type of Location","SO2","NO2","RSPM/PM10","PM 2.5"
507,24-06-14,Jammu & Kashmir,Jammu,"Bari Brahamana Industrial Area, Jammu",Jammu & Kashmir State Pollution Control Board,Industrial Area,7,18,125,NA
507,07-01-14,Jammu & Kashmir,Jammu,"Bari Brahamana Industrial Area, Jammu",Jammu & Kashmir State Pollution Control Board,Industrial Area,5,15,120,NA
507,07-07-14,Jammu & Kashmir,Jammu,"Bari Brahamana Industrial Area, Jammu",Jammu & Kashmir State Pollution Control Board,Industrial Area,11,15,142,NA
507,07-08-14,Jammu & Kashmir,Jammu,"Bari Brahamana Industrial Area, Jammu",Jammu & Kashmir State Pollution Control Board,Industrial Area,9,17,123,NA
507,14-07-14,Jammu & Kashmir,Jammu,"Bari Brahamana Industrial Area, Jammu",Jammu & Kashmir State Pollution Control Board,Industrial Area,4,18,119,NA
507,15-07-14,Jammu & Kashmir,Jammu,"Bari Brahamana Industrial Area, Jammu",Jammu & Kashmir State Pollution Control Board,Industrial Area,3,17,NA,NA
507,21-07-14,Jammu & Kashmir,Jammu,"Bari Brahamana Industrial Area, Jammu",Jammu & Kashmir State Pollution Control Board,Industrial Area,5,14,113,NA
507,22-07-14,Jammu & Kashmir,Jammu,"Bari Brahamana Industrial Area, Jammu",Jammu & Kashmir State Pollution Control Board,Industrial Area,3,15,118,NA
507,28-07-14,Jammu & Kashmir,Jammu,"Bari Brahamana Industrial Area, Jammu",Jammu & Kashmir State Pollution Control Board,Industrial Area,6,11,149,NA
507,08-04-14,Jammu & Kashmir,Jammu,"Bari Brahamana Industrial Area, Jammu",Jammu & Kashmir State Pollution Control Board,Industrial Area,6,12,160,NA
507,08-05-14,Jammu & Kashmir,Jammu,"Bari Brahamana Industrial Area, Jammu",Jammu & Kashmir State Pollution Control Board,Industrial Area,6,11,157,NA
